fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,idema,nombre_estacion
2023-03-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"3,1","17,5",15:10,3194U,Ciudad Universitaria
2023-03-15,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"0,8","5,3",13:40,3194U,Ciudad Universitaria
2023-03-16,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"0,8","5,3",12:50,3194U,Ciudad Universitaria
2023-03-17,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,1",23.0,"4,2","12,2",17:00,3194U,Ciudad Universitaria
2023-03-18,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"2,5","10,0",14:40,3194U,Ciudad Universitaria
2023-03-19,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"0,6","5,6",14:50,3194U,Ciudad Universitaria
2023-03-20,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"1,1","5,8",15:30,3194U,Ciudad Universitaria
2023-03-21,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"0,6","5,6",12:50,3194U,Ciudad Universitaria
2023-03-22,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"1,1","8,6",13:50,3194U,Ciudad Universitaria
2023-03-23,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"2,2","11,1",14:00,3194U,Ciudad Universitaria
2023-03-24,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"1,4","8,3",12:00,3194U,Ciudad Universitaria
2023-03-25,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"2,2","9,4",19:20,3194U,Ciudad Universitaria
